,sale_year,sale_month,license_id,license_name,billing_period,n_cancel,n_purch,cancel_amount,purch_amount,freq,revenue
0,2020,dec20,2971,smart,month,2,5,7.0,17.5,3,10.5
1,2020,dec20,2971,smart plus,month,2,2,17.98,17.98,0,0.0
2,2020,dec20,2975,enterprise,year,0,1,0.0,18.99,1,18.99
3,2020,dec20,2979,enterprise,month,0,1,0.0,10.99,1,10.99
4,2020,dec20,3012,enterprise,month,0,1,0.0,10.99,1,10.99
5,2020,dec20,3062,smart plus,year,0,1,0.0,15.99,1,15.99
6,2020,dec20,3075,enterprise,month,0,1,0.0,10.99,1,10.99
7,2020,dec20,3077,enterprise,month,0,1,0.0,10.99,1,10.99
8,2020,dec20,3083,enterprise,year,1,0,18.99,0.0,-1,-18.99
9,2020,dec20,3103,enterprise,year,0,1,0.0,18.99,1,18.99
10,2020,dec20,3105,enterprise,year,0,1,0.0,18.99,1,18.99
11,2020,dec20,3107,smart,year,0,1,0.0,20.0,1,20.0
12,2020,dec20,3111,enterprise,year,0,1,0.0,18.99,1,18.99
13,2020,dec20,3114,enterprise,year,0,1,0.0,18.99,1,18.99
14,2020,dec20,3118,enterprise,year,1,0,18.99,0.0,-1,-18.99
15,2020,dec20,3120,smart,year,0,1,0.0,20.0,1,20.0
16,2020,dec20,3125,enterprise,month,0,1,0.0,10.99,1,10.99
17,2020,dec20,3131,enterprise,year,0,1,0.0,18.99,1,18.99
18,2020,dec20,3133,enterprise,year,0,1,0.0,18.99,1,18.99
19,2020,dec20,3135,enterprise,year,0,1,0.0,18.99,1,18.99
20,2020,dec20,3138,enterprise,year,0,1,0.0,18.99,1,18.99
21,2020,dec20,3141,enterprise,year,0,1,0.0,18.99,1,18.99
22,2020,dec20,3145,smart,year,0,1,0.0,20.0,1,20.0
23,2020,dec20,3147,enterprise,year,0,1,0.0,18.99,1,18.99
24,2020,dec20,3152,enterprise,year,0,1,0.0,18.99,1,18.99
25,2020,dec20,3158,enterprise,year,0,1,0.0,18.99,1,18.99
26,2020,dec20,3164,enterprise,month,0,1,0.0,10.99,1,10.99
27,2020,dec20,3165,enterprise,year,0,1,0.0,40.0,1,40.0
28,2020,dec20,3167,smart,year,0,1,0.0,20.0,1,20.0
29,2020,dec20,3169,enterprise,year,1,0,18.99,0.0,-1,-18.99
30,2020,dec20,3171,smart,year,1,0,20.0,0.0,-1,-20.0
31,2020,dec20,3180,smart,year,1,0,20.0,0.0,-1,-20.0
32,2020,dec20,3185,smart,year,0,1,0.0,20.0,1,20.0
33,2020,dec20,3188,enterprise,year,0,1,0.0,18.99,1,18.99
34,2020,dec20,3190,smart,year,0,1,0.0,20.0,1,20.0
35,2020,dec20,3193,smart,year,0,1,0.0,20.0,1,20.0
36,2020,dec20,3196,enterprise,year,0,1,0.0,18.99,1,18.99
37,2020,dec20,3201,enterprise,year,1,0,18.99,0.0,-1,-18.99
38,2020,dec20,3206,enterprise,month,1,0,10.99,0.0,-1,-10.99
39,2020,dec20,3208,smart,year,1,0,20.0,0.0,-1,-20.0
40,2020,dec20,3210,enterprise,month,0,1,0.0,10.99,1,10.99
41,2020,dec20,3211,enterprise,year,0,1,0.0,18.99,1,18.99
42,2020,dec20,3214,enterprise,year,1,0,18.99,0.0,-1,-18.99
43,2020,dec20,3216,enterprise,year,0,1,0.0,18.99,1,18.99
44,2020,dec20,3218,smart,year,0,1,0.0,20.0,1,20.0
45,2020,dec20,3220,smart,year,0,1,0.0,20.0,1,20.0
46,2020,dec20,3225,smart,year,0,1,0.0,20.0,1,20.0
47,2020,dec20,3233,enterprise,year,1,0,18.99,0.0,-1,-18.99
48,2020,dec20,3238,enterprise,month,0,1,0.0,10.99,1,10.99
49,2020,dec20,3240,enterprise,year,1,0,18.99,0.0,-1,-18.99
50,2020,dec20,3240,smart plus,year,0,1,0.0,15.99,1,15.99
51,2020,dec20,3244,smart,year,1,0,45.0,0.0,-1,-45.0
52,2020,dec20,3246,enterprise,month,0,1,0.0,10.99,1,10.99
53,2020,dec20,3248,enterprise,year,0,1,0.0,18.99,1,18.99
54,2020,dec20,3255,smart,year,1,0,20.0,0.0,-1,-20.0
55,2020,dec20,3264,smart,month,0,1,0.0,3.99,1,3.99
56,2020,dec20,3266,enterprise,year,1,0,18.99,0.0,-1,-18.99
57,2020,dec20,3268,smart,year,0,1,0.0,20.0,1,20.0
58,2020,dec20,3270,smart,year,0,1,0.0,20.0,1,20.0
59,2020,dec20,3272,enterprise,year,1,0,18.99,0.0,-1,-18.99
60,2020,dec20,3276,enterprise,year,0,1,0.0,18.99,1,18.99
61,2020,dec20,3278,enterprise,month,0,1,0.0,10.99,1,10.99
62,2020,dec20,3280,enterprise,year,0,1,0.0,18.99,1,18.99
63,2020,dec20,3284,smart,year,1,0,40.0,0.0,-1,-40.0
64,2020,dec20,3286,enterprise,year,0,1,0.0,18.99,1,18.99
65,2020,dec20,3301,smart,year,0,1,0.0,20.0,1,20.0
66,2020,dec20,3307,enterprise,month,0,1,0.0,10.99,1,10.99
67,2020,dec20,3308,smart,year,0,1,0.0,20.0,1,20.0
68,2020,dec20,3312,smart,year,1,0,20.0,0.0,-1,-20.0
69,2020,dec20,3316,smart,year,0,1,0.0,20.0,1,20.0
