,sale_date,license_id,license_plan_id,operation_type,billing_period,license_name,billing_plan_price,sale_month,sale_year
0,2021-04-16 11:47:00,68373,511,purchase,month,enterprise,10.99,4,2021
1,2021-05-16 12:01:00,68373,511,purchase,month,enterprise,10.99,5,2021
2,2021-05-04 15:15:00,29867,515,purchase,month,smart plus,8.99,5,2021
3,2021-05-31 05:24:00,29867,511,purchase,month,enterprise,10.99,5,2021
4,2021-03-21 08:29:00,63044,456,purchase,year,smart,25.0,3,2021
5,2020-12-30 16:01:00,30688,497,purchase,month,enterprise,10.99,12,2020
6,2021-01-27 17:01:00,30688,497,purchase,month,enterprise,10.99,1,2021
7,2021-02-27 17:01:00,30688,497,purchase,month,enterprise,10.99,2,2021
8,2021-03-29 18:01:00,30688,497,purchase,month,enterprise,10.99,3,2021
9,2021-04-29 22:02:00,30688,497,cancelation,month,enterprise,10.99,4,2021
10,2021-01-29 16:57:00,53543,444,purchase,year,smart,25.0,1,2021
11,2021-02-04 17:46:00,54346,444,purchase,year,smart,25.0,2,2021
12,2020-12-19 18:01:00,43467,443,purchase,month,smart,3.5,12,2020
13,2021-01-16 19:00:00,43467,443,purchase,month,smart,3.5,1,2021
14,2021-02-16 19:00:00,43467,443,purchase,month,smart,3.5,2,2021
15,2021-03-18 19:01:00,43467,443,purchase,month,smart,3.5,3,2021
16,2021-04-18 20:01:00,43467,443,purchase,month,smart,3.5,4,2021
17,2021-05-18 21:00:00,43467,443,purchase,month,smart,3.5,5,2021
18,2020-12-16 13:00:00,3655,370,purchase,month,smart,8.0,12,2020
19,2021-01-13 14:00:00,3655,370,purchase,month,smart,8.0,1,2021
20,2021-02-13 14:01:00,3655,370,purchase,month,smart,8.0,2,2021
21,2021-03-15 15:00:00,3655,529,purchase,month,smart,15.0,3,2021
22,2021-04-15 15:01:00,3655,529,purchase,month,smart,15.0,4,2021
23,2021-05-15 16:01:00,3655,529,purchase,month,smart,15.0,5,2021
24,2021-05-14 17:52:00,73031,442,purchase,year,smart,25.0,5,2021
25,2021-02-26 09:01:00,10089,512,cancelation,year,enterprise,19.99,2,2021
26,2021-02-28 13:35:00,10089,512,purchase,year,enterprise,19.99,2,2021
27,2021-03-23 15:01:00,13502,442,purchase,year,smart,25.0,3,2021
28,2021-03-01 20:21:00,58140,515,purchase,month,smart plus,8.99,3,2021
29,2021-03-31 21:01:00,58140,515,purchase,month,smart plus,8.99,3,2021
30,2021-05-01 22:01:00,58140,515,purchase,month,smart plus,8.99,5,2021
31,2021-05-31 23:01:00,58140,515,purchase,month,smart plus,8.99,5,2021
32,2021-02-10 14:23:00,55122,441,purchase,month,smart,3.5,2,2021
33,2021-03-12 15:01:00,55122,441,purchase,month,smart,3.5,3,2021
34,2021-04-12 16:02:00,55122,441,purchase,month,smart,3.5,4,2021
35,2021-05-12 17:01:00,55122,441,purchase,month,smart,3.5,5,2021
36,2020-12-25 06:35:00,47035,475,cancelation,trial,trial smart,0.0,12,2020
37,2021-05-31 07:15:00,75639,513,purchase,month,smart plus,8.99,5,2021
38,2021-05-24 07:00:00,23172,498,purchase,year,enterprise,19.99,5,2021
39,2021-02-26 17:41:00,57451,442,purchase,year,smart,25.0,2,2021
40,2021-04-12 08:28:00,67528,497,purchase,month,enterprise,10.99,4,2021
41,2021-05-12 22:02:00,67528,497,cancelation,month,enterprise,10.99,5,2021
42,2021-04-23 08:12:00,67596,496,cancelation,trial,trial smart,0.0,4,2021
43,2021-04-12 15:02:00,67601,475,cancelation,trial,trial smart,0.0,4,2021
44,2021-04-25 19:56:00,70278,497,purchase,month,enterprise,10.99,4,2021
45,2021-04-28 12:48:00,70278,497,cancelation,month,enterprise,10.99,4,2021
46,2021-05-02 08:20:00,71364,513,purchase,month,smart plus,8.99,5,2021
